accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
KP284665	KP284665.1	KP284665	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284697	KP284697.1	KP284697	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284698	KP284698.1	KP284698	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284699	KP284699.1	KP284699	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284700	KP284700.1	KP284700	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284701	KP284701.1	KP284701	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KP284702	KP284702.1	KP284702	2009-12-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.	
KF156474	KF156474.1	KF156474	2009-12-02	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156362	KF156362.1	KF156362	2009-12-04	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156475	KF156475.1	KF156475	2009-12-04	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156476	KF156476.1	KF156476	2009-12-05	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
