accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
KF156369	KF156369.1	KF156369	2009-12-23	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156497	KF156497.1	KF156497	2009-12-23	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KT765226	KT765226.1	KEN/Kilifi/782_26/12/2009	2009-12-26	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765282	KT765282.1	KEN/Kilifi/783_28/12/2009	2009-12-28	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KF156498	KF156498.1	KF156498	2009-12-29	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156499	KF156499.1	KF156499	2009-12-29	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156500	KF156500.1	KF156500	2009-12-29	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KT765261	KT765261.1	KEN/Kilifi/784_29/12/2009	2009-12-29	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KT765265	KT765265.1	KEN/Kilifi/785_29/12/2009	2009-12-29	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KC297241	KC297241.1	KC297241	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297242	KC297242.1	KC297242	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297243	KC297243.1	KC297243	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297244	KC297244.1	KC297244	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297245	KC297245.1	KC297245	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297246	KC297246.1	KC297246	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297247	KC297247.1	KC297247	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297248	KC297248.1	KC297248	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297249	KC297249.1	KC297249	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297250	KC297250.1	KC297250	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
KC297251	KC297251.1	KC297251	2010-XX-XX	Asia	China			Homo sapiens	2013-10-02		Cui et al		Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.	
