	accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
4342	LC037769	LC037769.1	LC037769	2012-12-01	Asia	Japan	Osaka		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Nishimura,T.	
4343	MF445810	MF445810.1	MF445810	2012-12-01	Asia	China			Homo sapiens	2019-12-31		Su et al		Su,Y., Wu,Y., Tian,R., Liang,G.	
4344	MF445941	MF445941.1	MF445941	2012-12-01	Asia	China			Homo sapiens	2019-12-31		Su et al		Su,Y., Wu,Y., Tian,R., Liang,G.	
4345	AB808772	AB808772.1	AB808772	2012-12-02	Asia	Japan	Tochigi		Homo sapiens	2013-06-11		Tsukagoshi et al		Tsukagoshi,H., Yokoi,H., Kobayashi,M., Kushibuchi,I., Okamoto-Nakagawa,R., Yoshida,A., Morita,Y., Noda,M., Yamamoto,N., Sugai,K., Oishi,K., Kozawa,K., Kuroda,M., Shirabe,K., Kimura,H.	
4346	KT765054	KT765054.1	CD12120209	2012-12-02	Asia	China			Homo sapiens	2016-03-08		Hu et al		Hu,W.P., Pei,F.X.	
4347	KF587945	KF587945.1	KF587945	2012-12-03	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4348	KF587980	KF587980.1	KF587980	2012-12-03	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4349	KT765618	KT765618.1	KEN/Kilifi/1114_03/12/2012	2012-12-03	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4350	KT765653	KT765653.1	KEN/Kilifi/1113_03/12/2012	2012-12-03	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4351	LC037582	LC037582.1	LC037582	2012-12-03	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4352	LC037583	LC037583.1	LC037583	2012-12-03	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4353	LC037584	LC037584.1	LC037584	2012-12-03	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4354	LC037762	LC037762.1	LC037762	2012-12-03	Asia	Japan	Aichi		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Seo,T.	
4355	MH181967	MH181967.1	KEN/KILIFI/WGS/1113_03/12/2012	2012-12-03	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4356	MH181968	MH181968.1	KEN/KILIFI/WGS/1114_03/12/2012	2012-12-03	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4357	MT853803	MT853803.1	MAL/023/Dec-12	2012-12-03	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4358	MT854036	MT854036.1	ZAM/045/Dec-12	2012-12-03	Africa	Zambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4359	KF587977	KF587977.1	KF587977	2012-12-04	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4360	KT765650	KT765650.1	KEN/Kilifi/1115_04/12/2012	2012-12-04	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4361	LC037586	LC037586.1	LC037586	2012-12-04	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4362	MF445765	MF445765.1	MF445765	2012-12-04	Asia	China			Homo sapiens	2019-12-31		Su et al		Su,Y., Wu,Y., Tian,R., Liang,G.	
4363	MH181969	MH181969.1	KEN/KILIFI/WGS/1115_04/12/2012	2012-12-04	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4364	LC037803	LC037803.1	LC037803	2012-12-05	Asia	Japan	Kanagawa		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Takei,T.	
4365	KF570004	KF570004.1	RSV-325	2012-12-06	Asia	India			Homo sapiens	2013-11-27		Singh et al		Singh,A.K., Jain,B., Dangi,T., Verma,A., Dwivedi,M., Prakash,S., Jain,A.	
4366	KF587989	KF587989.1	KF587989	2012-12-06	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4367	KP269207	KP269207.1	IND/HRSVA/LKO/12/0257	2012-12-06	Asia	India			Homo sapiens	2015-01-18		Singh et al		Singh,A.K., Jain,A., Jain,B., Dangi,T., Verma,A.K., Dwivedi,M., Kushwaha,R.	
4368	KT765522	KT765522.1	KEN/Kilifi/1116_06/12/2012	2012-12-06	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4369	LC037587	LC037587.1	LC037587	2012-12-06	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4370	LC037802	LC037802.1	LC037802	2012-12-06	Asia	Japan	Kanagawa		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Takei,T.	
4371	MT853773	MT853773.1	KEN/CON003/Dec-12	2012-12-06	Africa	Kenya			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4372	KY982514	KY982514.1	KY982514	2012-12-07	North America	USA	Tennessee		Homo sapiens	2017-05-14		Shrivastava et al		Shrivastava,S., Halpin,R.A., Puri,V., Fedorova,N.B., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Pickett,B.E., Moore,M., Chappell,J., Larkin,E., Wentworth,D.E., Anderson,L.J., Hartert,T.	
4373	LC037588	LC037588.1	LC037588	2012-12-07	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4374	LC037589	LC037589.1	LC037589	2012-12-07	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4375	MT853727	MT853727.1	SAF/001/Dec-12	2012-12-07	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4376	MT853785	MT853785.1	GAM/010/Dec-12	2012-12-08	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4377	KF587951	KF587951.1	KF587951	2012-12-10	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4378	KT765624	KT765624.1	KEN/Kilifi/1117_10/12/2012	2012-12-10	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4379	LC037590	LC037590.1	LC037590	2012-12-10	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4380	LC037771	LC037771.1	LC037771	2012-12-10	Asia	Japan	Osaka		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Nishimura,T.	
4381	MH181970	MH181970.1	KEN/KILIFI/WGS/1117_10/12/2012	2012-12-10	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4382	AB808774	AB808774.1	AB808774	2012-12-11	Asia	Japan	Tochigi		Homo sapiens	2013-06-11		Tsukagoshi et al		Tsukagoshi,H., Yokoi,H., Kobayashi,M., Kushibuchi,I., Okamoto-Nakagawa,R., Yoshida,A., Morita,Y., Noda,M., Yamamoto,N., Sugai,K., Oishi,K., Kozawa,K., Kuroda,M., Shirabe,K., Kimura,H.	
4383	LC037591	LC037591.1	LC037591	2012-12-11	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4384	MG971421	MG971421.1	MG971421	2012-12-11	Europe	Netherlands			Homo sapiens	2019-12-02		Mackenzie et al		Mackenzie,G.A., Vilane,A., Salaudeen,R., Hogerwerf,L., van den Brink,S., Wijsman,L.A., Overduin,P., Janssens,T.K.S., de Silva,T.I., van der Sande,M.A.B., Kampmann,B., Meijer,A.	
4385	KF587933	KF587933.1	KF587933	2012-12-12	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4386	KT765606	KT765606.1	KEN/Kilifi/1118_12/12/2012	2012-12-12	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4387	KY654507	KY654507.1	TEv-12-125	2012-12-12	Asia	Philippines			Homo sapiens	2017-04-03		Malasao et al		Malasao,R., Furuse,Y., Okamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Segubre-Mercado,E., Lupisan,S., Oshitani,H.	
4388	MH181971	MH181971.1	KEN/KILIFI/WGS/1118_12/12/2012	2012-12-12	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4389	KJ658831	KJ658831.1	SH12121303NA1	2012-12-13	Asia	China			Homo sapiens	2014-12-20		Liu et al		Liu,J., Mu,Y., Dong,W., Yao,F., Wang,L., Yan,H., Lan,K., Zhang,C.	
4390	MT853722	MT853722.1	MAL/001/Dec-12	2012-12-13	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4391	MT853789	MT853789.1	MAL/009/Dec-12	2012-12-13	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4392	KF570005	KF570005.1	RSV-263	2012-12-14	Asia	India			Homo sapiens	2013-11-27		Singh et al		Singh,A.K., Jain,B., Dangi,T., Verma,A., Dwivedi,M., Prakash,S., Jain,A.	
4393	KP269208	KP269208.1	IND/HRSVA/LKO/12/0263	2012-12-14	Asia	India			Homo sapiens	2015-01-18		Singh et al		Singh,A.K., Jain,A., Jain,B., Dangi,T., Verma,A.K., Dwivedi,M., Kushwaha,R.	
4394	KF587961	KF587961.1	KF587961	2012-12-15	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4395	KT765634	KT765634.1	KEN/Kilifi/1119_15/12/2012	2012-12-15	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4396	MH181972	MH181972.1	KEN/KILIFI/WGS/1119_15/12/2012	2012-12-15	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4397	MT853786	MT853786.1	MAL/006/Dec-12	2012-12-15	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4398	LC037592	LC037592.1	LC037592	2012-12-17	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4399	LC037593	LC037593.1	LC037593	2012-12-17	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4400	MT853723	MT853723.1	MAL/002/Dec-12	2012-12-17	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4401	AB808775	AB808775.1	AB808775	2012-12-18	Asia	Japan	Tochigi		Homo sapiens	2013-06-11		Tsukagoshi et al		Tsukagoshi,H., Yokoi,H., Kobayashi,M., Kushibuchi,I., Okamoto-Nakagawa,R., Yoshida,A., Morita,Y., Noda,M., Yamamoto,N., Sugai,K., Oishi,K., Kozawa,K., Kuroda,M., Shirabe,K., Kimura,H.	
4402	KY328000	KY328000.1	TH-CU/C3434/2012	2012-12-18	Asia	Thailand			Homo sapiens	2017-10-25		Thongpan et al		Thongpan,I., Mauleekoonphairoj,J., Vichiwattana,P., Korkong,S., Vongpunsawad,S., Poovorawan,Y.	
4403	MT853771	MT853771.1	KEN/CON001/Dec-12	2012-12-18	Africa	Kenya			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4404	KF587948	KF587948.1	KF587948	2012-12-19	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4405	KT765621	KT765621.1	KEN/Kilifi/1120_19/12/2012	2012-12-19	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4406	MH181973	MH181973.1	KEN/KILIFI/WGS/1120_19/12/2012	2012-12-19	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4407	KP269241	KP269241.1	IND/HRSVA/LKO/12/0271	2012-12-20	Asia	India			Homo sapiens	2015-01-18		Singh et al		Singh,A.K., Jain,A., Jain,B., Dangi,T., Verma,A.K., Dwivedi,M., Kushwaha,R.	
4408	KY654512	KY654512.1	TEv-12-138	2012-12-20	Asia	Philippines			Homo sapiens	2017-04-03		Malasao et al		Malasao,R., Furuse,Y., Okamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Segubre-Mercado,E., Lupisan,S., Oshitani,H.	
4409	KF587956	KF587956.1	KF587956	2012-12-21	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4410	KT765629	KT765629.1	KEN/Kilifi/1121_21/12/2012	2012-12-21	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4411	LC037594	LC037594.1	LC037594	2012-12-21	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4412	MH181974	MH181974.1	KEN/KILIFI/WGS/1121_21/12/2012	2012-12-21	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4413	KF587929	KF587929.1	KF587929	2012-12-23	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4414	KF587988	KF587988.1	KF587988	2012-12-23	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4415	KT765334	KT765334.1	KEN/Kilifi/1123_23/12/2012	2012-12-23	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4416	KT765602	KT765602.1	KEN/Kilifi/1122_23/12/2012	2012-12-23	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4417	MH181975	MH181975.1	KEN/KILIFI/WGS/1122_23/12/2012	2012-12-23	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4418	KF587963	KF587963.1	KF587963	2012-12-24	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4419	KT765636	KT765636.1	KEN/Kilifi/1124_24/12/2012	2012-12-24	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4420	MG971422	MG971422.1	MG971422	2012-12-24	Europe	Netherlands			Homo sapiens	2019-12-02		Mackenzie et al		Mackenzie,G.A., Vilane,A., Salaudeen,R., Hogerwerf,L., van den Brink,S., Wijsman,L.A., Overduin,P., Janssens,T.K.S., de Silva,T.I., van der Sande,M.A.B., Kampmann,B., Meijer,A.	
4421	MH181976	MH181976.1	KEN/KILIFI/WGS/1124_24/12/2012	2012-12-24	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4422	LC037595	LC037595.1	LC037595	2012-12-25	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4423	KF587960	KF587960.1	KF587960	2012-12-26	Africa	Kenya			Homo sapiens	2013-12-17		Agoti et al		Agoti,C.N., Otieno,J.R., Gitahi,C.W., Cane,P.A., Nokes,D.J.	
4424	KT765633	KT765633.1	KEN/Kilifi/1125_26/12/2012	2012-12-26	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
4425	LC037596	LC037596.1	LC037596	2012-12-26	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4426	MH181977	MH181977.1	KEN/KILIFI/WGS/1125_26/12/2012	2012-12-26	Africa	Kenya			Homo sapiens	2018-09-28		Otieno et al		Otieno,J.R., Kamau,E.M., Oketch,J.W., Ngoi,J.M., Gichuki,A.M., Binter,S., Otieno,G.P., Ngama,M., Agoti,C.N., Cane,P.A., Kellam,P., Cotten,M., Lemey,P., Nokes,D.J.	
4427	MT853911	MT853911.1	SAF/092/Dec-12	2012-12-27	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.	
4428	LC037597	LC037597.1	LC037597	2012-12-28	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.	
4429	KJ627734	KJ627734.1	RSV-A/US/BID-V8702/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
4430	KJ627735	KJ627735.1	RSV-A/US/BID-V8722/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
4431	KJ627736	KJ627736.1	RSV-A/US/BID-V8723/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
4432	KJ627737	KJ627737.1	RSV-A/US/BID-V8725/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
4433	KJ627738	KJ627738.1	RSV-A/US/BID-V8743/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
4434	KJ627739	KJ627739.1	RSV-A/US/BID-V8744/2013	2013-XX-XX	North America	USA	Tennessee		Homo sapiens	2014-04-16		Newman et al		Newman,R.M., Zody,M.C., DeVincenzo,J.P., Grad,Y., Lipsitch,M., Murphy,R., Fitzgerald,M., Young,S., Gargeya,S., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., McCowan,C., Ireland,A., Levin,J., Malboeuf,C., Qu,J., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.	
